epoch,(hid) min,(hid) max,(hid) range,(out) min,(out) max,(out) range
0,0.000000,0.035714,0.035713,0.000038,0.099995,0.099957
1,-2.007632,1.463862,3.471494,-1.241879,0.535879,1.777758
2,-2.513186,1.872347,4.385533,-1.468273,0.686366,2.154639
3,-2.760374,2.059166,4.819540,-1.522906,0.702970,2.225876
4,-2.935394,2.098423,5.033817,-1.604968,0.728592,2.333560
5,-3.221983,2.239489,5.461473,-1.634921,0.746433,2.381355
6,-3.312208,2.377083,5.689291,-1.683749,0.784729,2.468478
7,-3.472973,2.529909,6.002882,-1.763662,0.797391,2.561054
8,-3.513319,2.581544,6.094862,-1.816592,0.793235,2.609827
9,-3.590487,2.558261,6.148748,-1.866991,0.815480,2.682471
10,-3.671632,2.564313,6.235945,-1.896594,0.842176,2.738770
11,-3.798146,2.699258,6.497404,-1.909400,0.853523,2.762923
12,-3.822353,2.712333,6.534686,-1.963200,0.878366,2.841566
13,-3.929803,2.656776,6.586579,-1.992075,0.891113,2.883189
14,-3.964443,2.651403,6.615846,-2.060583,0.895116,2.955699
15,-4.009371,2.678962,6.688333,-2.117265,0.882687,2.999953
16,-4.176145,2.749120,6.925265,-2.188399,0.872650,3.061049
17,-4.202709,2.642399,6.845108,-2.245722,0.897891,3.143613
18,-4.287220,2.677634,6.964854,-2.298891,0.920384,3.219275
19,-4.360773,2.732857,7.093631,-2.336940,0.931119,3.268059
20,-4.370039,2.845310,7.215349,-2.383883,0.942370,3.326253
21,-4.431248,2.989855,7.421103,-2.427210,0.959477,3.386686
22,-4.552822,2.993530,7.546352,-2.466808,0.964323,3.431131
23,-4.574286,3.013977,7.588262,-2.491448,0.983376,3.474824
24,-4.636379,3.028596,7.664976,-2.519393,0.985704,3.505096
25,-4.694927,3.196619,7.891546,-2.565336,1.005219,3.570555
26,-4.734459,3.361469,8.095928,-2.600499,1.043950,3.644449
27,-4.826936,3.532031,8.358967,-2.629492,1.045357,3.674849
28,-4.884228,3.695431,8.579658,-2.665090,1.101239,3.766329
29,-5.014352,3.867206,8.881558,-2.688591,1.126991,3.815581
30,-5.098182,4.037715,9.135897,-2.726795,1.178726,3.905521
31,-5.147687,4.206855,9.354542,-2.759640,1.175170,3.934810
32,-5.242575,4.371096,9.613671,-2.777634,1.219774,3.997408
33,-5.280186,4.540939,9.821125,-2.800089,1.205985,4.006075
34,-5.307671,4.722118,10.029788,-2.840861,1.239612,4.080474
35,-5.397053,4.902250,10.299303,-2.869938,1.273213,4.143152
36,-5.458186,5.074948,10.533134,-2.891323,1.275522,4.166846
37,-5.435448,5.242841,10.678288,-2.928041,1.308369,4.236410
38,-5.458186,5.420536,10.878722,-2.952810,1.296502,4.249312
39,-5.517778,5.598844,11.116622,-2.984678,1.335727,4.320405
